agent,strategy,feature_id,phase,input_tokens,output_tokens_estimated,total_tokens_estimated,latency_ms,schema_valid,escalated,attempts
claude-code,inject-full,feat-node-001,prd,523,133,656,1,true,false,1
claude-code,inject-full,feat-node-001,techspec,535,59,594,1,true,false,1
claude-code,inject-full,feat-node-001,tasks,517,76,593,1,true,false,1
claude-code,inject-full,feat-node-004,prd,525,136,661,1,true,false,1
claude-code,inject-full,feat-node-004,techspec,538,59,597,1,true,false,1
claude-code,inject-full,feat-node-004,tasks,520,78,598,1,true,false,1
claude-code,inject-full,feat-py-004,prd,530,138,668,1,true,false,1
claude-code,inject-full,feat-py-004,techspec,542,59,601,1,true,false,1
claude-code,inject-full,feat-py-004,tasks,524,79,603,1,true,false,1
claude-code,inject-full,feat-go-004,prd,516,129,645,1,true,false,1
claude-code,inject-full,feat-go-004,techspec,528,57,585,1,true,false,1
claude-code,inject-full,feat-go-004,tasks,510,74,584,1,true,false,1
claude-code,inject-full,feat-go-005,prd,522,135,657,1,true,false,1
claude-code,inject-full,feat-go-005,techspec,534,57,591,1,true,false,1
claude-code,inject-full,feat-go-005,tasks,517,75,592,1,true,false,1
claude-code,summary,feat-node-001,prd,249,133,382,1,true,false,1
claude-code,summary,feat-node-001,techspec,261,59,320,1,true,false,1
claude-code,summary,feat-node-001,tasks,243,76,319,1,true,false,1
claude-code,summary,feat-node-004,prd,251,136,387,1,true,false,1
claude-code,summary,feat-node-004,techspec,264,59,323,1,true,false,1
claude-code,summary,feat-node-004,tasks,246,78,324,1,true,false,1
claude-code,summary,feat-py-004,prd,254,138,392,1,true,false,1
claude-code,summary,feat-py-004,techspec,267,59,326,1,true,false,1
claude-code,summary,feat-py-004,tasks,249,79,328,1,true,false,1
claude-code,summary,feat-go-004,prd,244,129,373,1,true,false,1
claude-code,summary,feat-go-004,techspec,257,57,314,1,true,false,1
claude-code,summary,feat-go-004,tasks,239,74,313,1,true,false,1
claude-code,summary,feat-go-005,prd,251,135,386,1,true,false,1
claude-code,summary,feat-go-005,techspec,263,57,320,1,true,false,1
claude-code,summary,feat-go-005,tasks,245,75,320,1,true,false,1
claude-code,on-demand,feat-node-001,prd,288,133,421,1,true,false,1
claude-code,on-demand,feat-node-001,techspec,301,59,360,1,true,false,1
claude-code,on-demand,feat-node-001,tasks,283,76,359,1,true,false,1
claude-code,on-demand,feat-node-004,prd,291,136,427,1,true,false,1
claude-code,on-demand,feat-node-004,techspec,303,59,362,1,true,false,1
claude-code,on-demand,feat-node-004,tasks,285,78,363,1,true,false,1
claude-code,on-demand,feat-py-004,prd,294,138,432,1,true,false,1
claude-code,on-demand,feat-py-004,techspec,306,59,365,1,true,false,1
claude-code,on-demand,feat-py-004,tasks,288,79,367,1,true,false,1
claude-code,on-demand,feat-go-004,prd,284,129,413,1,true,false,1
claude-code,on-demand,feat-go-004,techspec,296,57,353,1,true,false,1
claude-code,on-demand,feat-go-004,tasks,278,74,352,1,true,false,1
claude-code,on-demand,feat-go-005,prd,290,135,425,1,true,false,1
claude-code,on-demand,feat-go-005,techspec,302,57,359,1,true,false,1
claude-code,on-demand,feat-go-005,tasks,285,75,360,1,true,false,1
codex,inject-full,feat-node-001,prd,521,133,654,1,true,false,1
codex,inject-full,feat-node-001,techspec,534,59,593,1,true,false,1
codex,inject-full,feat-node-001,tasks,516,76,592,1,true,false,1
codex,inject-full,feat-node-004,prd,524,136,660,1,true,false,1
codex,inject-full,feat-node-004,techspec,536,59,595,1,true,false,1
codex,inject-full,feat-node-004,tasks,518,78,596,1,true,false,1
codex,inject-full,feat-py-004,prd,528,138,666,1,true,false,1
codex,inject-full,feat-py-004,techspec,541,59,600,1,true,false,1
codex,inject-full,feat-py-004,tasks,523,79,602,1,true,false,1
codex,inject-full,feat-go-004,prd,514,129,643,1,true,false,1
codex,inject-full,feat-go-004,techspec,527,57,584,1,true,false,1
codex,inject-full,feat-go-004,tasks,509,74,583,1,true,false,1
codex,inject-full,feat-go-005,prd,521,135,656,1,true,false,1
codex,inject-full,feat-go-005,techspec,533,57,590,1,true,false,1
codex,inject-full,feat-go-005,tasks,515,75,590,1,true,false,1
codex,summary,feat-node-001,prd,247,133,380,1,true,false,1
codex,summary,feat-node-001,techspec,260,59,319,1,true,false,1
codex,summary,feat-node-001,tasks,242,76,318,1,true,false,1
codex,summary,feat-node-004,prd,250,136,386,1,true,false,1
codex,summary,feat-node-004,techspec,262,59,321,1,true,false,1
codex,summary,feat-node-004,tasks,244,78,322,1,true,false,1
codex,summary,feat-py-004,prd,253,138,391,1,true,false,1
codex,summary,feat-py-004,techspec,265,59,324,1,true,false,1
codex,summary,feat-py-004,tasks,247,79,326,1,true,false,1
codex,summary,feat-go-004,prd,243,129,372,1,true,false,1
codex,summary,feat-go-004,techspec,255,57,312,1,true,false,1
codex,summary,feat-go-004,tasks,237,74,311,1,true,false,1
codex,summary,feat-go-005,prd,249,135,384,1,true,false,1
codex,summary,feat-go-005,techspec,261,57,318,1,true,false,1
codex,summary,feat-go-005,tasks,244,75,319,1,true,false,1
codex,on-demand,feat-node-001,prd,287,133,420,1,true,false,1
codex,on-demand,feat-node-001,techspec,299,59,358,1,true,false,1
codex,on-demand,feat-node-001,tasks,281,76,357,1,true,false,1
codex,on-demand,feat-node-004,prd,289,136,425,1,true,false,1
codex,on-demand,feat-node-004,techspec,302,59,361,1,true,false,1
codex,on-demand,feat-node-004,tasks,284,78,362,1,true,false,1
codex,on-demand,feat-py-004,prd,292,138,430,1,true,false,1
codex,on-demand,feat-py-004,techspec,305,59,364,1,true,false,1
codex,on-demand,feat-py-004,tasks,287,79,366,1,true,false,1
codex,on-demand,feat-go-004,prd,282,129,411,1,true,false,1
codex,on-demand,feat-go-004,techspec,295,57,352,1,true,false,1
codex,on-demand,feat-go-004,tasks,277,74,351,1,true,false,1
codex,on-demand,feat-go-005,prd,289,135,424,1,true,false,1
codex,on-demand,feat-go-005,techspec,301,57,358,1,true,false,1
codex,on-demand,feat-go-005,tasks,283,75,358,1,true,false,1
gemini,inject-full,feat-node-001,prd,522,133,655,1,true,false,1
gemini,inject-full,feat-node-001,techspec,534,59,593,1,true,false,1
gemini,inject-full,feat-node-001,tasks,516,76,592,1,true,false,1
gemini,inject-full,feat-node-004,prd,524,136,660,1,true,false,1
